entity,frequency
 CLL amp SLL Great news,2
 lymphoma patients,4
 World Lymphoma Awareness month,2
 Acalabrutinib PBS,2
 PY Inhibitors,2
 Cancer drugs,14
 SecondGeneration BTKi,2
 Brilliant news,4
 DanaFarber LeedsHospitals,2
 time,178
 Relapsed Refractory Chronic Lymphocytic Leukemia,140
   phase,6
 ACECL trial,10
 pembrolizumab,46
 FDA approval,50
 BTK inhibitor acalabrutinib,26
 News Adding acalabrutinib,2
 et al,68
   REtreatment,2
 VEnetoclax,4
 Venetoclax Limited Duration REVEAL,2
 REtreatment,2
 Venetoclax Limited Duration REVEAL Status,2
 Condition Summary CLLSLL,2
 Suivi,2
 outcomes,138
 Nurseled approaches,4
 patient adherence,6
 Clinical Journal,4
 Nursing,2
 treatment adherence,2
 AEs,14
 introduction,24
 Bcell antigen receptor pathway,2
 firstline treatment,102
 longterm responses,2
 Relapsed mUC,2
   Patienten mit platinrefraktärem metastasiertem Urothelkarzinom,2
 randomisiert Pembrolizumab mit oder ohne Acalabrutinib zugeteilt,2
 WATCH,20
 Ian Flinn MD,2
 Tycel Jovelle Phillips MD,2
 Bijal Shah MD,2
 Javier Munoz MD FACP,2
 RR mantle cell lymphoma,6
 Estudio,4
 FDA puede,8
 la tormenta de citoquinas,10
 NewTrip ASCEND Phase III Randomized Trial,2
 Followup data,6
 Hay   ensayos,2
 clínicos,8
 Perú relacionados al CovidLos tratamientos,2
 IvermectinaMavrilimumabRuxolitinibAcalabrutinibHidroxicloroquinaTocilzumabSolidaridad OMS    fármacosResultados,2
 unos meses,2
 Game,2
 article,76
 standardofcare,2
 慢性リンパ性 白血病 に対して,2
 Acalabrutinib BTK inhibitors,2
 MDSCs   pembro,2
 pembro,2
   Phase,20
 editorial,4
 European Medicines Agency,12
 Acalabrutinib   une véritable avancée,2
 New   Phase II Study,2
 Acalabrutinib ACA,2
 Venetoclax VEN,2
 アストラゼネカのアカラブルチニブ（Calquence）、新型コロナウイルス感染症例の入院患者さんの大多数において有望な臨床効果を示す   から,2
 アストラゼネカのアカラブルチニブ（Calquence）、慢性リンパ性白血病の治療薬として、欧州医薬品評価委員会より承認勧告を取得 〔,2
 Myriad trials,2
 blood cancer agents,2
 cytokine storm,18
 Researchers,206
 inhibitors,40
 blood,84
 benefit,46
   Acalabrutinib,22
 percent improvement,8
 oxygen,4
 ventilators,4
 EMA,22
 Marketing Authorisation,2
 Bruton,38
 Acalabrutinib zur Zulassung,2
 wesentlicher Treiber der chronisch,2
 lymphatischen Leukämie,2
 der BZellRezeptorSignalweg,2
 dem,4
 BrutonTyrosinkinase BTK eine zentrale Position einnimmt Acalabrutinib hemmt,2
 BTK,30
 Medscape HematologyOncology Headlinesgtgt Green Light,4
 Avapritinib,6
 GIST Acalabrutinib,6
    AstraZenecas acalabrutinib,2
 JanssenPharmacyclics ibrutinib,2
 cancer drugs,6
 News CHMP,2
 CHMP,20
 Effects,22
 Protonpump Inhibitor,4
 Acalabrutinib Capsule,4
 COCACOLA,4
 Healthy Participants,4
 Status Recruiting Condition Summary Infectious Disease,2
   Study,40
   kann sich Hoffnung auf,2
 Zulassung von zwei Krebsmedikamenten,2
 der Europäischen Union,2
 Die Europäische   habe,2
 Zulassung von    sowie von    empfohlen,2
 Status Recruiting Condition,2
 あべ歯科医療ニュースｐｉｃｋUP ★ BTK阻害薬acalabrutinibがCLLを対象に欧州で承認推薦,2
 acalabrutinibの承認推薦は、未治療のCLL患者を対象に実施されたフェーズ試験であるELEVATE TN試験と再発・難治性CLL患者を対象に実施された   リンク,2
 EMA Green Light,2
 【 医師 】 BTK阻害薬acalabrutinibがCLLを対象に欧州で承認推薦 またASCEND試験において、再発、難治性のCLLに対してacalabrutinibの単剤投与が、医師選択治療（リツキシマブ＋idelalisibまたはリツキシマブ＋,2
 CHMP recommendations,4
 AstraZeneca Imfinzi,4
 firstline lung cancer Calquence,4
 marketing authorisation,6
 EU     AZN,2
 AZN   AstraZeneca PLC Calquence,2
 MALATTIE RARE,6
 LEUCEMIA LINFOCITICA CRONICA PARERE,2
 POSITIVO DEL CHMP,2
 DELL’EMA,2
     autorizza tre nuovi studi,2
 su,14
 βa,2
 e la molecola tcoEkwnGaokP,2
 viability,6
 relapsed mantle cell lymphoma,2
 NEOPLASIE DELLE,2
 CELLULE B,2
 PROFILO,2
 DI SICUREZZA FAVOREVOLE,2
 L’INIBITORE,2
 DI BTK DI NUOVA GENERAZIONE ACALABRUTINIB,4
 differences,22
 BTK inhibitors ibrutinib st generation acalabrutinib amp zanubrutinib nd generation,2
 w,230
 lymphoma drug acalabrutinib,6
 drug acalabrutinib,4
 Rapid improvement,2
 symptoms amp oxygenation,2
 label use,2
 Louis Staudt   support,2
 idea,4
 Louis Staudt   Acalabrutinib Calquence,2
 inflammation amp,2
 Research,98
 offlabel use,10
 Louis Staudt,2
 سترازينيكا تطرح عقار,2
 Acalabrutinib Managing Adverse Events,2
 Adherence,18
 EHA Virtual Congress,2
 ® Trial Results,2
 Chronic Lymphocytic LeukemiaRead,8
 Tirosina quinasa de Bruton BTK,2
 Final ASCEND Data Confirm Safety Efficacy,2
 RR CLL,38
 Hematologylife ‍ ⚕ ️ñoldebuenosaires,2
 पर कैंसर,2
 की दवा,2
 एक्लाब्रुटिनिब के,2
 लिए भारत में,2
 की जगह,2
 मरीज,2
 हिमानी चांदना,2
 decreased inflammation,4
 price,10
 month,34
 slowness,2
 في,2
 group,70
 researchers,50
 Calquence con k de queso dijo mi,2
 ASTRAZENECA LYMPHOMA DRUG ACALABRUTINIB,8
 POTENTIAL THERAPY,10
 SEVERE COVID,10
 azn,2
 scam mrna,2
 AZNPLC ASTRAZENECA LYMPHOMA DRUG ACALABRUTINIB,2
 Early Data Suggest Acalabrutinib,2
 Benefit Patients,2
 New study,30
 lymphoma drug,2
 Lymphoma drug acalabrutinib,4
 bestinclass growth,2
 E sales CAGR,4
 CLL Enhertu,2
 postKadcyla breast cancer,2
 ongoing,2
 endE Farxiga heart failure,2
 New paper,24
 Sunny Kim   Heme Onc Fellow,2
 Cancer journal,2
    Announces CALAVI Trial,4
 Examine Acalabrutinib,10
 April,46
 Matthew Fowler,4
 Press Release,6
 LEUCEMIA LINFATICA CRONICA RICADUTAREFRATTARIA ACALABRUTINIB,2
 CONFERMA LA SUA,2
 ALTA EFFICIENZA,2
 LUNGO TERMINE,2
 Cancer Research,4
 Time,56
 John C Byrd MD,6
 CLLSLL Acalabrutinib,2
 TreatmentNaive Patients,12
 work,116
 acalabrutinib Lucky,2
 chlorambucil,132
   Prof Paolo Ghia,2
 safety,84
 acalabrutinib monotherapy,24
 FDA,1222
 Occupy BTK,4
 key,12
 STELLAR UPDATERecruitment,2
 investigation,16
 CHOPR,14
    CALQUENCE,2
 Obinutuzumab,174
 ChlorambucilObinutuzumab,8
 PULSE,2
 世界の最先端医療ニュース,2
 New Drug,10
 アストラゼネカ、慢性リンパ性白血病治療薬Calquenceの試験結果を発表,2
 ASCO Final Results,2
 ASCEND Trial,2
 Resistant CLLLearn,2
 JNCCN,6
 BTK阻害薬acalabrutinib、CLLつの試験で有用性／アストラゼネカ,2
 days,48
 Acalabrutinib de   muestra eficacia,2
 linfocítica Los resultados,2
 presentaron durante el Congreso Anual de la,2
 Asociación Europea de ía ➡,2
 ️,224
 New Acalabrutinib,4
 Dra Adriana Scheliga,4
 Acalabrutinib de AstraZeneca muestra eficacia,4
 leucemia linfocítica,4
 Blood samples,2
 COVID pts,2
 levels,12
 interleukin,4
 hyper,2
 acalabrutinib Counts,2
 lymphocytes,22
 Loxo,4
   boosts,2
 SARSCoV replication,2
 NEW Acalabrutinib,2
    ACECL trial,2
 Dr Alan Skarbnik,4
 ASCEND,10
 Acalabrutinib aumenta,2
 supervivencia libre de progresión,2
 o leucemia,2
 refractaria,4
 ecancer,2
 Bcl inhibitor APG vs RR CLLSLL,2
 collab,6
 monotherapy,40
 アストラゼネカ株式会社、アストラゼネカのアカラブルチニブ（Calquence）、慢性リンパ性白血病患者さんに対する長期有効性と忍容性をつの臨床試験で示す,2
 Ascentage Acerta,2
 APG CALQUENCE combo,2
 rr,30
 El acalabrutinib,8
 el,18
 contra,4
 relapsedrefractory disease,6
 PHASE,10
 TRIAL,4
 ACALABRUTINIB PLUS,2
 Dr Dr Thomas WitzigEHA Library Jun,2
 Dr John Byrd,18
 Naive CLL Comparisons,2
 maybe effects,2
 options,240
 patientsless,2
 hypertension,2
 Live QampAPaolo Ghia,2
 Reapertura de centros comerciales,4
 impulsar economía,4
 La   advierte de un,4
 acalabrutinib、新型コロナ重症例のサイトカインストーム改善／アストラゼネカ Carenet医療ニュース,2
 Gli update,2
 un’interessante opzione terapeutica,2
 anche prima linea,2
 La parole di Alessandra Tedeschi,2
 Effectivement ce ne sont pas les,2
 préliminaires de   mais ceux dun essai,2
 de   linhibiteur de BTK   chez les patients,2
 dune,2
 John Byrd,10
 treatmentnaïve   patients,2
   La cloroquina,2
 la azitromicina,2
 el ritonavir,2
 ivermectina son usados para tratar casos,2
 de   estos,2
 los últimos,4
 Favorable LongTerm Efficacy,2
 ［ブログ］くすりの有害事象と薬剤疫学COVIDに関する薬剤の安全性情報を調べてみました。有害事象DB（）アカラブルチニブ（Acalabrutinib）、国内未承認、海外販売名：Calquence（カルクエンス ）,2
   organization,2
 ÓN El acalabrutinib,2
 – Medical News,2
 tcoFkHUEWwkch,2
 Acalabrutinib pharmacodynamics,2
 link,68
 Member Richard R Furman MD,2
 improvement,20
 Los médicos han publicado sus conclusiones,2
 revista Science Immunology Consideran que,2
 la clave está,2
 proteína BTK y que este,2
 fármaco,2
 Demiurge AIbased    outcome predictions,2
 Da Paolo Ghia un,2
 finale dello studio ASCEND presentato ad,2
 con ulteriori evidenze,2
 acalabrutinib nella leucemia linfatica cronica,2
 CARETAS El,2
 reactivación,2
 los comercios,2
 La OIT advierte de un drástico,2
 medication,38
 cancer,172
 inflammation,12
 Dr,84
 expert,136
 COVID patients,34
 Oncology Research physicians,2
 expertise,4
 fight,20
 pandemic,4
     trial,4
 New Phase II data,14
 regimen,36
 Truxima,20
 Pharmacodynamic Analysis,4
 BTK Inhibition,12
 Randomized Trial,8
 Investigator,6
 Choice,10
 RCT,12
 Médicos del hospital Walter Reed,2
 Maryland Estados Unidos han descubierto que el medicamento,2
 metaphorically treatment,2
 tocilizumab,2
 anakinra,2
 limbs,2
 tree,4
 trunk,2
 Dexamethasone,2
 IdelalisibRituximab,4
 BendamustineRituximab,24
 Relapsed Refractory CLL ASCEND Trial,2
 zonder obinutuzumab,2
 chloorambucil,2
 obinutuzmab als,2
 Jefferies analysts,6
 companies,16
 coronavirus,6
 Calquence acalabrutinib oncology trials,2
 lack,10
 WM patients,2
 fulldose ibrutinibibrutinib,2
 mgd,4
 Early Data Potential Benefit,4
 Severe COVID,8
 Severe COVIDJune,2
 Physicians Briefing,2
 Medscape Acalabrutinib Calquence AstraZeneca,2
 Bruton tyrosine kinase BTK inhibitor,2
 La compañía que administra acalabrutinib iniciará,2
 biosimilar      RA,2
 Nuovi,6
 II indicano che un regime combinato,4
 di Truxima,4
 AstraZenecas Blood Cancer Drug Calquence,14
 Benefit SeverelyIll,22
 ® lenalidomide,2
 acalabrutinib、新型コロナ重症例のサイトカインストーム改善／アストラゼネカ,4
 biosimilar rituximab,6
 acalabrutinib RA,2
 プレスリリース公開日、年,2
 月,2
 日「アストラゼネカのアカラブルチニブ（Calquence）、新型コロナウイルス感染症例の入院患者さんの大多数において有望な臨床効果を示す,2
 」,4
 De nouvelles,2
 données de Phase II,2
 indiquent quun traitement combinant,2
 ® rituximab biosimilaire lénalidomide,2
 et acalabrutinib RA,2
 être efficace,2
 et,12
 toléré par,2
 les patients,8
 dun,2
 lymphome à cellules B agressif,2
 Nieuwe,2
 aan,2
 dat regime van Truxima,2
 acalabrutinib RA wellicht goed wordt verdragen en effectief,2
 Neue PhaseIIDaten deuten auf gute,2
 Verträglichkeit und,2
 RituximabBiosimilar Lenalidomid und Acalabrutinib RA bei rezidiviertenrefraktären,2
 aggressiven BZellLymphomen,2
 indican que el régimen,2
 de Truxima,2
 el linfoma de células B agresivo recidivanterefractario,2
 II indicano che un regime combinato di Truxima,2
 rituximab biosimilare lenalidomide e acalabrutinib RA può,2
 ben tollerato ed efficace nella terapia del,2
 cellule B aggressivo refrattariorecidivato,2
 La “ tormenta de citoquinas,2
 de la COVID podría ser calmada,2
 con Acalabrutinib según publicación,2
 誌年月日号にも同時掲載された 。 現在、ウイルス誘発性の過剰免疫反応（高サイトカイン血症,2
 Kanser ilacı Acalabrutinib,8
 Covid vakalarında,8
 U,16
 Majority Acalabrutinib,2
 trouble,2
 house,16
 fire,2
 lungs,2
 Dr Staudt,2
 drug acalabrutinibcan,2
 Buena noticia para pacientes de coronavirus,34
 prueban con éxito fármaco Acalabrutinib,22
 LEUCEMIA LINFATICA CRONICA DIMOSTRATA,2
 L’EFFICACIA E LA TOLLERABILITÀ,2
 LUNGO TERMINE DI ACALABRUTINIBI,2
 presentati al,2
 ° Congresso EHA European Hematology Association,2
 Leucemia linfatica cronica dimostrata affidabilità e,2
 tollerabilità,2
 JCO ASCEND Phase III Randomized Trial,2
 BTK PIK SYK BCL 阻害薬使用歴は除外されている点に注意,2
 cause,8
 COVID outbreak,2
 Celebrating Inclusion,2
 Diversity,6
 LGBTQA Pride Month,2
 Coronavirus,24
 ब्लड,2
 ’ हे ’ औषध करू,2
 कोरोना,2
 जाणून घ्या,2
 हे,2
 Lancet Acalabrutinib w,2
 wo obinutuzumab,2
 Blood Cancer Drug Calquence,8
 Han dicho Acalabrutinib,2
 LaSexta Noche,2
 L   phase II trialnm median fup dc,2
 date,42
 SPM   infection,2
 PDTox,2
 G HTN,2
 ‘ Cytokine Storm,4
 Drugs,12
 EE UU dieron con un fármaco capaz de vencer las formas más,4
 de la,6
 El hallazgo,4
 se produjo gracias al descubrimiento de la proteína que podría ser,4
 la,52
 enfermedad la proteína BTK,4
 Proponen al fármaco acalabrutinib para frenar,2
 G un,2
 Estados Unidos dio con un fármaco que vence las formas más,2
    cancer drug,2
 “ improvement,2
 Acalabrutinib como medicamento para tratar,4
 Parece que ya,4
 Leucemia terapia con Acalabrutinib efficace e tollerata,2
 🦠    ármaco,2
 Probaron un fármaco,2
 weekend,10
 STELLAR UPDATE,2
 Patient recruitment,2
 Cohort,10
 STELLAR,6
 TC Bec,4
 Thanks,130
 Research Nurses Sian,2
 Jess PI Dr Fox,2
 rest,14
 research team,2
 ‘ cytokine storm,2
 it“the cancer drug Calquence,2
 cytokine supply,2
 source,2
 Encontraron fármaco que vence las formas más,4
 AZN AstraZeneca Calquence,6
 longterm efficacy amp tolerability,2
 Leucemia linfatica cronica dimostrata,2
 l’efficacia,2
 e,6
 lungo termine di Acalabrutinib,2
 BTK Inhibitor Acalabrutinib,20
 Early Promise,120
 Un estudio con   pacientes,2
 con COVID que requirieron hospitalización,2
 por bajos niveles,2
 de oxígeno y un,2
 cuadro de inflamación demostró que,2
 el medicamento Acalabrutinib,2
 es,4
 benéfico sobre,2
 administra,2
 al inicio,2
 de la tormenta de citoquinas,2
 Resultat från två nya studier pekar på att,2
 är mycket god,2
 med Calquence,2
 patienter med kronisk lymfatisk leukemi,2
 Nello studio ACECL acalabrutinib dimostra un tasso di,2
 globale del,2
 e un profilo,2
 di sicurezza prolungato nel trattamento,2
 con,4
 linfatica cronica,2
 non pretrattati,2
 Acalabrutinib è,2
 e tollerato,2
 lungo termine nel,2
 linfatica cronica LLC la forma più comune di leucemia dell’adultotcoWqOkdRl,2
 Tras los éxitos,2
 nuestras,2
 y demás vedettesllega,2
 muestras pantallas,2
 Medscape BTK inhibitor acalabrutinib,2
 de la COVID Podría ser,2
 el virus,2
 la proteína BTK El descubrimiento da esperanza,2
 en la consecución de un,2
 Doctors,52
 drugs amp devices,2
 Una esperanza para,6
 los pacientes de coronavirus,6
 estado crítico probaron con éxito el Acalabrutinib un fármaco,2
 ya,6
    Investigadores observaron que el uso del medicamento,4
 un fármaco,4
 el tratamiento de varios,10
 tipos de cáncer de sangre proporcionó beneficios,10
 los pacientes críticos por,10
 El acalabrutinib inhibidor de la tirosina,2
 quinasa de Bruton BTK podria ser útil,2
 en el tratamiento,2
 de casos severos,2
 de    publica estudio de mejoría con su,2
 Ahora toca,2
 hacer un,2
 clinico,2
 Leyendo sobre la inflamacion,2
 provocada por el,2
 estudios con pacientes de paises,2
 mas afectados,2
 y,56
 aparece,2
 Panamá,2
 la proteína BTK llamado acalabrutinib,2
 Y aquí,2
 x q,2
 la OMS,2
 ha aprobado tal cosasusalaaabaaoo,2
 Exciting news,10
 acalabrutinib un fármaco de AstraZeneca que trata,2
 y ahora el acalabrutinib aparecen,2
   El Acalabrutinib fue,2
 casos de Covid y logró combatir con éxito,2
 estados avanzados,6
 Evan Kirstel,2
 Twitter,28
 Prueban con éxito el Acalabrutinib para pacientes con coronavirus,10
 estado grave,10
 prueban con éxito un fármaco Acalabrutinib,4
 SI SE SALVA ALGUNA VIDA,2
 BIENVENIDA SEA,2
 NEWS AUN,2
 SIGO,2
 CIENTIFICA MEDICA,2
 MONEY,2
 GOOD NEWS,6
 ACALABRUTINIB ESTE,2
 Y SEA OTRO FAKE PARA AMASAR MONEY,2
 case study,10
   ACALABRUTINIB,2
 アストラゼネカのアカラブルチニブ（Calquence）、新型コロナウイルス感染症を対象としたCALAVI試験を開始,8
 Médicos,2
 Estados Unidos dieron con un fármaco capaz de combatir y vencer las formas más,2
 de la   COVID,2
 prueban con éxito un fármaco ya existente El Acalabrutinib,8
 El estudio,2
 desarrollado para probar si el bloqueo,2
 de la proteína,2
 BTK con Acalabrutinib,2
   un medicamento que se usa,2
 medicamento,6
 que “ salvaría,2
 Resultados inesperados,2
 el producto,2
 bienvenido,2
 especialmente diseñado para bloquear,2
 la BTK y aprobado para el tratamiento de algunos cánceres,2
 Cytokine storm BTK Inhibitor Acalabrutinib,2
 Acalabrutinib fármaco para,2
 la BTK Tirosina kinasa de Bruton,2
 Covid con buenos resultados,2
 de ellos,2
 estado crítico probaron con éxito un fármaco,2
 ya existenteEl,2
 uso del Acalabrutinib usado contra el cáncer logró combatir con éxito,2
    Investigadores observaron que el uso del medicamento “ Acalabrutinib ” un fármaco,6
 El uso del Acalabrutinib,2
 usado contra el cáncer logró combatir con éxito,2
 El remedio,2
 estado crítico probaron con éxito un fármaco ya existente,2
 Fármaco Acalabrutinib,2
 Hola,2
 アストラゼネカのアカラブルチニブ（）、新型 リンク,2
 グ：アストラゼネカ お知らせ,2
 アストラゼネカ株式会社、アストラゼネカのアカラブルチニブ（Calquence）、新型コロナウイルス感染症例の入院患者さんの大多数において有望な臨床効果を示す,2
 El fármaco acalabrutinib un inhibidor que controla,2
 Cancer drug acalabrutinib,2
 potential,72
 un fármaco anticanceroso,2
 アストラゼネカ の アカラブルチニブ（）、新型コロナウイルス,2
 感染症例の入院患者さんの大多数において有望な臨床効果を示す 。 ＃免疫 　 ＃COVID,2
 de la enzima,2
 en,26
 mejora su capacidad de oxigenación,2
 【 感染症,4
 Estudios,2
 de   contra,2
 nota de   para,2
 Clarín,2
 con la opinión,2
 Credit,2
 ⁦,12
 Coca Cola,4
 parody article,2
 HonestDoctors,2
 mind,26
 Dr Nicole Lamanna,54
 Dr Jan Burger,18
 Dr Javier PinillaIbarz,8
 ASCEND acalabrutinib trial,2
 investigators,6
 POSSIBLE TREATMENT Calquence,2
 promise,118
 research,222
 El fármaco acalabrutinib aprobado por,2
 para,2
 tipos de cáncer de linfocitos B mejoró los niveles de oxigenación,2
 disminuyó los marcadores,2
 de inflamación,2
 Se,2
 Calquence aprobado para tratar el linfoma y que pertenece,2
 una,2
 conocida como inhibidores de BTK,2
 Comenta,2
 y RT,2
    Bruton tyrosine kinase,2
 LongTerm Tolerability,6
 BCell Malignancies,18
 través de,4
 Research Finds Cancer Drug,2
 Longterm data,8
 acalabrutinib Calquence,10
 Rapid improvements,2
 Promising Clinical Improvement,2
 Majority,2
 MedNews,6
 L’acalabrutinib serait bénéfique pour,6
 gravement atteintsUn médicament contre le cancer pour aider des malades de la COVID,2
 JDQ,2
 Promise,64
